length_log_bucket,gc_bucket,n
13,9,1714
13,10,2922
13,11,4893
13,12,7309
13,13,11943
13,14,30056
13,15,42661
13,16,47739
13,17,45346
13,18,43753
13,19,46096
13,20,41812
13,21,43263
13,22,36466
13,23,27581
13,24,19397
13,25,12841
13,26,8442
13,27,5308
13,28,3539
13,29,2064
13,30,1134
13,31,538
13,32,329
13,33,147
13,34,79
13,35,12
13,36,10
13,41,1
14,1,62
14,2,8
14,3,27
14,4,47
14,5,217
14,6,1011
14,7,1326
14,8,1734
14,9,2448
14,10,4048
14,11,6499
14,12,10223
14,13,16570
14,14,32308
14,15,42627
14,16,60152
14,17,72003
14,18,53968
14,19,57812
14,20,62556
14,21,63147
14,22,53525
14,23,40779
14,24,27684
14,25,18360
14,26,11681
14,27,7371
14,28,4498
14,29,2634
14,30,1456
14,31,808
14,32,418
14,33,212
14,34,68
14,35,14
14,36,3
14,39,1
14,41,2
15,1,40
15,2,7
15,3,34
15,4,69
15,5,245
15,6,750
15,7,591
15,8,1282
15,9,2624
15,10,4873
15,11,8945
15,12,14893
15,13,24192
15,14,48496
15,15,65449
15,16,81169
15,17,73174
15,18,71697
15,19,74215
15,20,77637
15,21,81990
15,22,71918
15,23,56575
15,24,38809
15,25,25475
15,26,16072
15,27,9756
15,28,6036
15,29,3499
15,30,1808
15,31,942
15,32,460
15,33,191
15,34,43
15,35,16
15,36,2
15,37,1
15,38,1
15,39,1
15,40,1
16,1,24
16,2,15
16,3,19
16,4,119
16,5,149
16,6,776
16,7,1155
16,8,2512
16,9,5817
16,10,10056
16,11,16212
16,12,22940
16,13,40279
16,14,70873
16,15,83794
16,16,117994
16,17,93420
16,18,89918
16,19,93331
16,20,100675
16,21,108697
16,22,95356
16,23,72857
16,24,50284
16,25,33744
16,26,21829
16,27,13617
16,28,7946
16,29,4448
16,30,2180
16,31,1070
16,32,427
16,33,176
16,34,44
16,35,14
16,38,2
16,39,2
16,40,1
17,1,86
17,2,23
17,3,26
17,4,29
17,5,104
17,6,411
17,7,905
17,8,2103
17,9,5936
17,10,10103
17,11,15652
17,12,24735
17,13,44609
17,14,66769
17,15,87763
17,16,120316
17,17,141763
17,18,141802
17,19,145115
17,20,153136
17,21,186293
17,22,138800
17,23,103165
17,24,70341
17,25,46789
17,26,29376
17,27,17813
17,28,10204
17,29,5328
17,30,2505
17,31,1161
17,32,448
17,33,159
17,34,66
17,35,9
17,36,2
17,37,3
17,40,4
17,41,3
18,1,11
18,2,7
18,3,16
18,4,77
18,5,145
18,6,716
18,7,1811
18,8,2797
18,9,5360
18,10,11720
18,11,19103
18,12,31174
18,13,51476
18,14,89744
18,15,121257
18,16,142838
18,17,151964
18,18,141699
18,19,139679
18,20,178930
18,21,195530
18,22,168156
18,23,126597
18,24,85665
18,25,57144
18,26,36894
18,27,22282
18,28,12078
18,29,5903
18,30,2818
18,31,1150
18,32,451
18,33,144
18,34,45
18,35,13
18,36,1
18,37,1
18,39,5
18,40,3
18,41,4
19,1,16
19,2,10
19,3,6
19,4,14
19,5,62
19,6,497
19,7,2266
19,8,4302
19,9,6762
19,10,11885
19,11,20607
19,12,34629
19,13,56799
19,14,101904
19,15,147551
19,16,155465
19,17,147238
19,18,156543
19,19,147378
19,20,179405
19,21,202535
19,22,185115
19,23,140189
19,24,93982
19,25,62982
19,26,40002
19,27,23381
19,28,12752
19,29,6031
19,30,2635
19,31,934
19,32,337
19,33,113
19,34,29
19,35,11
19,36,2
19,37,2
19,38,1
19,39,1
19,40,2
20,1,42
20,2,22
20,3,8
20,4,22
20,5,51
20,6,250
20,7,1120
20,8,3397
20,9,6660
20,10,12294
20,11,23263
20,12,41705
20,13,71563
20,14,123076
20,15,170757
20,16,183844
20,17,203948
20,18,171601
20,19,154354
20,20,196811
20,21,227705
20,22,207200
20,23,179977
20,24,101850
20,25,65939
20,26,41782
20,27,24114
20,28,12633
20,29,5510
20,30,2399
20,31,749
20,32,238
20,33,81
20,34,22
20,35,14
20,36,3
20,37,1
20,38,3
20,39,5
20,40,9
20,41,4
21,1,14
21,2,9
21,3,9
21,4,6
21,5,26
21,6,74
21,7,572
21,8,2062
21,9,4754
21,10,10722
21,11,22120
21,12,39222
21,13,70465
21,14,126162
21,15,192653
21,16,206933
21,17,176450
21,18,145339
21,19,150822
21,20,205166
21,21,245423
21,22,194503
21,23,145472
21,24,91949
21,25,58877
21,26,37311
21,27,20825
21,28,10572
21,29,4632
21,30,1705
21,31,536
21,32,183
21,33,61
21,34,23
21,35,8
21,36,3
21,37,4
21,38,1
21,39,3
22,1,15
22,2,11
22,3,2
22,4,4
22,5,22
22,6,66
22,7,478
22,8,1752
22,9,4261
22,10,10410
22,11,21568
22,12,40786
22,13,83697
22,14,144330
22,15,203739
22,16,244059
22,17,193943
22,18,145769
22,19,127834
22,20,149988
22,21,166883
22,22,151108
22,23,110838
22,24,70128
22,25,44954
22,26,28083
22,27,15677
22,28,8111
22,29,3767
22,30,1375
22,31,418
22,32,150
22,33,61
22,34,14
22,35,7
22,36,2
22,37,2
22,38,1
22,39,3
22,40,2
23,1,5
23,2,3
23,3,5
23,4,9
23,5,27
23,6,68
23,7,356
23,8,1540
23,9,3910
23,10,9854
23,11,20453
23,12,40104
23,13,73730
23,14,136870
23,15,225694
23,16,257277
23,17,175040
23,18,125654
23,19,108026
23,20,116136
23,21,124334
23,22,127030
23,23,98337
23,24,52765
23,25,34337
23,26,21780
23,27,12625
23,28,6369
23,29,2948
23,30,1195
23,31,348
23,32,113
23,33,21
23,34,3
23,35,4
23,37,2
23,40,1
23,41,1
24,1,5
24,2,6
24,3,8
24,4,6
24,5,12
24,6,52
24,7,328
24,8,1457
24,9,3675
24,10,8871
24,11,19297
24,12,37560
24,13,71349
24,14,139174
24,15,238920
24,16,239817
24,17,162975
24,18,113389
24,19,90990
24,20,92977
24,21,96389
24,22,88722
24,23,78231
24,24,52865
24,25,26066
24,26,16787
24,27,9489
24,28,5181
24,29,2333
24,30,977
24,31,281
24,32,73
24,33,22
24,34,4
24,35,2
24,36,1
25,1,6
25,2,4
25,3,2
25,4,3
25,5,14
25,6,37
25,7,291
25,8,1211
25,9,3106
25,10,8361
25,11,17720
25,12,34137
25,13,67312
25,14,137462
25,15,249581
25,16,226658
25,17,142792
25,18,98441
25,19,74703
25,20,70174
25,21,70955
25,22,64577
25,23,47654
25,24,41765
25,25,20432
25,26,13411
25,27,8004
25,28,4694
25,29,1803
25,30,708
25,31,215
25,32,47
25,33,13
25,34,4
25,37,2
25,39,1
26,2,2
26,3,1
26,4,3
26,5,7
26,6,40
26,7,257
26,8,1094
26,9,2503
26,10,7124
26,11,16093
26,12,34182
26,13,66031
26,14,131073
26,15,230901
26,16,192040
26,17,121060
26,18,82139
26,19,60886
26,20,54130
26,21,51283
26,22,45250
26,23,34684
26,24,24795
26,25,16226
26,26,11077
26,27,6516
26,28,4290
26,29,1400
26,30,557
26,31,172
26,32,35
26,33,8
26,34,5
26,35,1
26,37,1
27,2,2
27,3,5
27,4,2
27,5,5
27,6,28
27,7,183
27,8,817
27,9,1956
27,10,5973
27,11,13574
27,12,25221
27,13,54585
27,14,118940
27,15,213064
27,16,181115
27,17,102262
27,18,69089
27,19,50130
27,20,42696
27,21,39791
27,22,34497
27,23,28197
27,24,20334
27,25,12543
27,26,8662
27,27,5082
27,28,2353
27,29,1013
27,30,369
27,31,110
27,32,25
27,33,6
27,35,1
27,36,2
27,37,1
27,40,1
28,2,2
28,3,2
28,4,3
28,5,6
28,6,37
28,7,138
28,8,582
28,9,1608
28,10,5009
28,11,11359
28,12,21320
28,13,47968
28,14,106370
28,15,178862
28,16,140153
28,17,90476
28,18,61604
28,19,45752
28,20,37595
28,21,34295
28,22,30462
28,23,25498
28,24,18231
28,25,13160
28,26,7915
28,27,4472
28,28,2117
28,29,866
28,30,289
28,31,64
28,32,12
28,33,1
28,34,1
28,35,1
28,37,1
28,38,1
28,40,1
29,1,1
29,2,1
29,3,4
29,4,1
29,5,11
29,6,24
29,7,106
29,8,469
29,9,1303
29,10,4103
29,11,9600
29,12,17645
29,13,41598
29,14,94542
29,15,152446
29,16,123077
29,17,82829
29,18,57092
29,19,42577
29,20,35446
29,21,30804
29,22,26821
29,23,21972
29,24,15921
29,25,10353
29,26,6684
29,27,3807
29,28,1468
29,29,571
29,30,206
29,31,48
29,32,5
29,33,1
30,1,1
30,2,1
30,3,2
30,4,1
30,5,4
30,6,22
30,7,98
30,8,364
30,9,941
30,10,3331
30,11,8038
30,12,15075
30,13,36521
30,14,82950
30,15,131004
30,16,111965
30,17,77512
30,18,54270
30,19,41232
30,20,33533
30,21,29081
30,22,25088
30,23,19332
30,24,13051
30,25,8409
30,26,5378
30,27,2831
30,28,1080
30,29,393
30,30,152
30,31,33
30,32,3
30,34,1
30,37,1
31,2,1
31,3,2
31,4,4
31,5,7
31,6,12
31,7,85
31,8,287
31,9,724
31,10,2753
31,11,7154
31,12,12879
31,13,32286
31,14,72590
31,15,114768
31,16,104507
31,17,73820
31,18,51623
31,19,40176
31,20,33056
31,21,27356
31,22,23028
31,23,17834
31,24,12092
31,25,7234
31,26,4382
31,27,2284
31,28,835
31,29,330
31,30,101
31,31,24
31,32,4
31,34,1
31,40,1
32,5,6
32,6,26
32,7,56
32,8,230
32,9,591
32,10,2278
32,11,6407
32,12,11061
32,13,27917
32,14,64208
32,15,103307
32,16,99748
32,17,71599
32,18,51433
32,19,39538
32,20,29503
32,21,24384
32,22,20655
32,23,15294
32,24,10298
32,25,6109
32,26,3318
32,27,1786
32,28,710
32,29,234
32,30,64
32,31,17
32,32,4
32,36,1
33,2,2
33,3,1
33,4,3
33,5,4
33,6,12
33,7,56
33,8,173
33,9,489
33,10,1666
33,11,5564
33,12,9567
33,13,24023
33,14,56308
33,15,91689
33,16,93411
33,17,68472
33,18,49900
33,19,37662
33,20,28115
33,21,22651
33,22,18515
33,23,12887
33,24,8760
33,25,4851
33,26,2597
33,27,1444
33,28,578
33,29,172
33,30,47
33,31,5
33,32,3
33,34,1
34,4,1
34,5,2
34,6,6
34,7,46
34,8,158
34,9,373
34,10,1430
34,11,4923
34,12,8195
34,13,20827
34,14,47863
34,15,80934
34,16,85566
34,17,65135
34,18,48219
34,19,35562
34,20,25619
34,21,20376
34,22,15256
34,23,10532
34,24,6915
34,25,4373
34,26,2136
34,27,1120
34,28,435
34,29,123
34,30,48
34,31,3
35,2,1
35,3,1
35,5,3
35,6,12
35,7,24
35,8,98
35,9,271
35,10,1106
35,11,4289
35,12,7308
35,13,17825
35,14,41558
35,15,72721
35,16,78633
35,17,59855
35,18,43642
35,19,32824
35,20,22984
35,21,16766
35,22,12820
35,23,8483
35,24,5139
35,25,2918
35,26,1528
35,27,750
35,28,252
35,29,68
35,30,22
35,31,5
35,32,1
36,5,1
36,6,4
36,7,8
36,8,73
36,9,224
36,10,887
36,11,3710
36,12,6295
36,13,15167
36,14,35021
36,15,65249
36,16,71121
36,17,55357
36,18,39720
36,19,28479
36,20,19997
36,21,14938
36,22,10629
36,23,6931
36,24,3937
36,25,1980
36,26,1052
36,27,495
36,28,192
36,29,61
36,30,19
36,31,1
37,5,3
37,6,5
37,7,18
37,8,54
37,9,204
37,10,705
37,11,3059
37,12,5395
37,13,12692
37,14,29678
37,15,57525
37,16,64584
37,17,49952
37,18,35144
37,19,25792
37,20,17140
37,21,12510
37,22,8452
37,23,5390
37,24,3084
37,25,1680
37,26,1034
37,27,427
37,28,164
37,29,52
37,30,6
37,31,1
38,3,1
38,5,2
38,6,2
38,7,9
38,8,39
38,9,156
38,10,594
38,11,2589
38,12,4580
38,13,10561
38,14,25965
38,15,52422
38,16,58495
38,17,44934
38,18,32361
38,19,23248
38,20,14571
38,21,9670
38,22,6693
38,23,3890
38,24,2478
38,25,1354
38,26,743
38,27,372
38,28,79
38,29,18
38,30,4
39,4,1
39,5,3
39,6,4
39,7,7
39,8,33
39,9,98
39,10,483
39,11,2148
39,12,3746
39,13,8437
39,14,22639
39,15,46965
39,16,52896
39,17,40024
39,18,27951
39,19,19949
39,20,11479
39,21,7357
39,22,4682
39,23,3040
39,24,1782
39,25,950
39,26,509
39,27,170
39,28,59
39,29,20
39,30,3
40,3,1
40,5,1
40,6,1
40,7,10
40,8,31
40,9,81
40,10,415
40,11,1602
40,12,3136
40,13,6842
40,14,18855
40,15,42042
40,16,47865
40,17,35410
40,18,23836
40,19,16417
40,20,9138
40,21,6616
40,22,4146
40,23,2571
40,24,1474
40,25,679
40,26,363
40,27,141
40,28,30
40,29,7
41,11,1
41,15,2
41,16,3
41,17,1
41,18,2
41,19,1
41,20,1
41,23,1
