group,mean_gc_skew,mean_gc_skew_stddev,n
Leucosolenida,-0.0001520213842249379,0.11155603885363345,26441
Articulata,0.0024852282293098497,0.07556502458578952,26173
Haplosclerida,0.0008708220277952594,0.10669257876763143,26074
Dipodascomycetes,0.0023767521751771247,0.11518481793721735,26046
Merostomata,-0.0002456617667440861,0.08034494971259894,25927
Clitellata,-0.0027356000625916397,0.13079135306124978,25573
Malasseziomycetes,0.0011261667112458984,0.07264138225171433,25435
Tritrichomonas,-3.226149187081915e-05,0.10937411832074882,25336
Gymnolaemata,0.0018705837060570643,0.1181660034462319,25291
Mortierellomycetes,-0.0014578956459442723,0.10904433744396966,24503
Bathycoccaceae,7.375428795666192e-05,0.16088566859230813,23440
Plakinidae,0.0014598563947417712,0.12373461969567348,22695
Parachela,-0.0013920124306678544,0.07114436406077111,22396
Orbiliomycetes,0.003328541425647107,0.10858612247706172,21963
Suberitida,0.0010947078460058128,0.07249870913030955,21925
Polyplacophora,0.0022128574395297905,0.09160137515907323,21612
Pilidiophora,0.003219129163883061,0.07872161957174971,21125
Chlorellales,0.0016575660112964612,0.07833279673789413,20132
Coscinodiscophyceae,0.0015387420425024205,0.1249749009179584,18645
Bacillariophyceae,0.0007330617865849089,0.10900509720325714,18592
Mamiellaceae,0.00012917455627457373,0.09295837379302463,18560
Sagittiferidae,-0.0032230035962625887,0.11225217242027681,18446
Monocercomonoides,0.002622572006331676,0.25127564398631236,18146
Phaeophyceae,0.05209299559766187,0.15715306071172644,17946
Priapulimorpha,0.00046880524317239095,0.10477307448674085,17379
Oscarellidae,0.0003428559982695291,0.08123777806775832,17352
Gregarinasina,-0.0003883372665731867,0.09197512582623592,17204
Kickxellomycetes,-0.0012158481719420845,0.0920268343625787,17046
Dorylaimia,-0.004057165660956545,0.1307046481889105,17036
Rhizostomatidae,0.00011059934306098632,0.075091622571034,16110
Microbotryomycetes,0.0020970800772234922,0.1306757913710294,15811
Bolinopsidae,-0.0003773764824370831,0.10516365018064036,15730
Acanthamoebidae,0.0015627232011761927,0.10242388016669293,15707
Rhodomelaceae,0.008994257032880482,0.16337785187717188,13916
Cestoda,0.05769844746758497,0.15924393809479798,13576
Calcarisporiellales,0.000627300953089542,0.10056092505593356,12118
Opalinata,0.0016820294799817482,0.16728331438387276,11991
Pelagomonadales,0.000983824176539768,0.06391608265430748,11925
Pneumocystomycetes,0.004650826376043169,0.18536683750591373,11426
Trichoplacidae,0.002046006904702545,0.07237403091537759,11332
Gracilariaceae,-0.0006104254222516427,0.16212410477704026,11148
Histomonas,0.001317330274189557,0.10656904978522029,11119
Trebouxiophyceae incertae sedis,0.0024405743611890466,0.069039998962876,10762
Wallemiomycetes,-0.0006692766596493178,0.09277576138364134,10384
Dacrymycetes,0.0013098385172173551,0.09910325381433949,10298
